# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	2379115396	19	1	2	0	76	33	10	10	0	0.0436	3	2	20	20	C	2	0	8	11
E12S200_12ecu_200signals_001	foundation	2379115396	19	2	2	1	114	102	20	20	1.6488000000020975	0.039600000000000003	1	1	20	20	C	2	0	8	11
E12S200_12ecu_200signals_001	foundation	2386405008	150	1	2	0	144	110	20	20	3.7080000000024711	0.039600000000000003	1	2	20	20	B	1	0	4	9
E12S200_12ecu_200signals_001	foundation	2386405008	150	2	2	1	179	69	10	10	0	0.039600000000000003	1	5	20	20	B	1	0	4	9
E12S200_12ecu_200signals_001	foundation	2424082760	183	1	1	0	191	73	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	10	11
E12S200_12ecu_200signals_001	foundation	2448055156	173	1	2	0	207	176	100	100	0	0.039600000000000003	1	1	100	100	C	2	0	2	7
E12S200_12ecu_200signals_001	foundation	2448055156	173	2	2	1	208	177	100	100	14.583200000002648	0.039600000000000003	1	1	100	100	C	2	0	2	7
E12S200_12ecu_200signals_001	foundation	2455244669	65	1	2	0	170	165	100	100	0	0.039600000000000003	1	1	100	100	B	1	0	11	8
E12S200_12ecu_200signals_001	foundation	2455244669	65	2	2	1	171	166	100	100	9.6648000000017191	0.039600000000000003	1	1	100	100	B	1	0	11	8
E12S200_12ecu_200signals_001	foundation	2480084051	151	1	1	0	77	34	10	10	0	0.039600000000000003	1	2	20	20	A	0	0	9	11
E12S200_12ecu_200signals_001	foundation	2509039159	160	1	1	0	179	69	10	10	0	0.039600000000000003	1	5	20	20	A	0	0	4	9
E12S200_12ecu_200signals_001	foundation	2531627318	14	1	1	0	108	44	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	8	9
E12S200_12ecu_200signals_001	foundation	2571435907	99	1	1	0	7	82	20	20	0	0.039600000000000003	1	3	20	20	A	0	0	3	0
E12S200_12ecu_200signals_001	foundation	2582309718	122	1	1	0	175	65	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	5	9
E12S200_12ecu_200signals_001	foundation	2588006354	70	1	1	0	47	180	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	6	0
E12S200_12ecu_200signals_001	foundation	2611990748	44	1	1	0	32	179	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	3	7
E12S200_12ecu_200signals_001	foundation	2768917986	32	1	1	0	136	53	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	2	3
E12S200_12ecu_200signals_001	foundation	2769947442	74	1	1	0	143	56	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	3	2
E12S200_12ecu_200signals_001	foundation	2770018031	57	1	1	0	178	68	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	2	6
E12S200_12ecu_200signals_001	foundation	2785509168	184	1	1	0	211	80	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	4	7
E12S200_12ecu_200signals_001	foundation	2811396888	43	1	1	0	182	116	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	0	9
E12S200_12ecu_200signals_001	foundation	2820087904	92	1	1	0	0	130	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	5	3
